emd_code,sgg_code,sido_code,emd_name,sgg_name,sido_name,use_yn
1114013300,11140,11,충무로5가,중구,서울특별시,1
1114013400,11140,11,인현동2가,중구,서울특별시,1
1114013500,11140,11,예관동,중구,서울특별시,1
1114013600,11140,11,묵정동,중구,서울특별시,1
1114013700,11140,11,필동1가,중구,서울특별시,1
1114013800,11140,11,필동2가,중구,서울특별시,1
1114013900,11140,11,필동3가,중구,서울특별시,1
1114014000,11140,11,남학동,중구,서울특별시,1
1114014100,11140,11,주자동,중구,서울특별시,1
1114014200,11140,11,예장동,중구,서울특별시,1
1114014300,11140,11,장충동1가,중구,서울특별시,1
1114014400,11140,11,장충동2가,중구,서울특별시,1
1114014500,11140,11,광희동1가,중구,서울특별시,1
1114014600,11140,11,광희동2가,중구,서울특별시,1
1114014700,11140,11,쌍림동,중구,서울특별시,1
1114014800,11140,11,을지로6가,중구,서울특별시,1
1114014900,11140,11,을지로7가,중구,서울특별시,1
1114015000,11140,11,을지로4가,중구,서울특별시,1
1114015100,11140,11,을지로5가,중구,서울특별시,1
1114015200,11140,11,주교동,중구,서울특별시,1
1114015300,11140,11,방산동,중구,서울특별시,1
1114015400,11140,11,오장동,중구,서울특별시,1
1114015500,11140,11,을지로3가,중구,서울특별시,1
1114015600,11140,11,입정동,중구,서울특별시,1
1114015700,11140,11,산림동,중구,서울특별시,1
1114015800,11140,11,충무로3가,중구,서울특별시,1
1114015900,11140,11,초동,중구,서울특별시,1
1114016000,11140,11,인현동1가,중구,서울특별시,1
1114016100,11140,11,저동2가,중구,서울특별시,1
1114016200,11140,11,신당동,중구,서울특별시,1
1114016300,11140,11,흥인동,중구,서울특별시,1
1114016400,11140,11,무학동,중구,서울특별시,1
1114016500,11140,11,황학동,중구,서울특별시,1
1114016600,11140,11,서소문동,중구,서울특별시,1
1114016700,11140,11,정동,중구,서울특별시,1
1114016800,11140,11,순화동,중구,서울특별시,1
1114016900,11140,11,의주로1가,중구,서울특별시,1
1114017000,11140,11,충정로1가,중구,서울특별시,1
1114017100,11140,11,중림동,중구,서울특별시,1
1114017200,11140,11,의주로2가,중구,서울특별시,1
1114017300,11140,11,만리동1가,중구,서울특별시,1
1114017400,11140,11,만리동2가,중구,서울특별시,1
1117010100,11170,11,후암동,용산구,서울특별시,1
1117010200,11170,11,용산동2가,용산구,서울특별시,1
1117010300,11170,11,용산동4가,용산구,서울특별시,1
1117010400,11170,11,갈월동,용산구,서울특별시,1
1117010500,11170,11,남영동,용산구,서울특별시,1
1117010600,11170,11,용산동1가,용산구,서울특별시,1
1117010700,11170,11,동자동,용산구,서울특별시,1
1117010800,11170,11,서계동,용산구,서울특별시,1
1117010900,11170,11,청파동1가,용산구,서울특별시,1
1117011000,11170,11,청파동2가,용산구,서울특별시,1
1117011100,11170,11,청파동3가,용산구,서울특별시,1
1117011200,11170,11,원효로1가,용산구,서울특별시,1
1117011300,11170,11,원효로2가,용산구,서울특별시,1
1117011400,11170,11,신창동,용산구,서울특별시,1
1117011500,11170,11,산천동,용산구,서울특별시,1
1117011600,11170,11,청암동,용산구,서울특별시,1
1117011700,11170,11,원효로3가,용산구,서울특별시,1
1117011800,11170,11,원효로4가,용산구,서울특별시,1
1117011900,11170,11,효창동,용산구,서울특별시,1
1117012000,11170,11,도원동,용산구,서울특별시,1
1117012100,11170,11,용문동,용산구,서울특별시,1
1117012200,11170,11,문배동,용산구,서울특별시,1
1117012300,11170,11,신계동,용산구,서울특별시,1
1117012400,11170,11,한강로1가,용산구,서울특별시,1
1117012500,11170,11,한강로2가,용산구,서울특별시,1
1117012600,11170,11,용산동3가,용산구,서울특별시,1
1117012700,11170,11,용산동5가,용산구,서울특별시,1
1117012800,11170,11,한강로3가,용산구,서울특별시,1
1117012900,11170,11,이촌동,용산구,서울특별시,1
1117013000,11170,11,이태원동,용산구,서울특별시,1
1117013100,11170,11,한남동,용산구,서울특별시,1
1117013200,11170,11,동빙고동,용산구,서울특별시,1
1117013300,11170,11,서빙고동,용산구,서울특별시,1
1117013400,11170,11,주성동,용산구,서울특별시,1
1117013500,11170,11,용산동6가,용산구,서울특별시,1
1117013600,11170,11,보광동,용산구,서울특별시,1
1120010100,11200,11,상왕십리동,성동구,서울특별시,1
1120010200,11200,11,하왕십리동,성동구,서울특별시,1
1120010300,11200,11,홍익동,성동구,서울특별시,1
1120010400,11200,11,도선동,성동구,서울특별시,1
1120010500,11200,11,마장동,성동구,서울특별시,1
1120010600,11200,11,사근동,성동구,서울특별시,1
1120010700,11200,11,행당동,성동구,서울특별시,1
1120010800,11200,11,응봉동,성동구,서울특별시,1
1120010900,11200,11,금호동1가,성동구,서울특별시,1
